entity_signature,pm_market_id,pm_title,pm_contract_key,kalshi_market_id,kalshi_title,kalshi_contract_key,reject_reason
leader_contact|visit|donald_trump|germany,518869,Will Donald Trump visit Germany in 2025?,leader_contact|visit|donald_trump|germany|year:2025,KXPRESVISIT-26-DEU,Will Trump visit Germany in the first year?,leader_contact|visit|donald_trump|germany|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|israel,518863,Will Donald Trump visit Israel in 2025?,leader_contact|visit|donald_trump|israel|year:2025,KXPRESVISIT-26-IS,Will Trump visit Israel in the first year?,leader_contact|visit|donald_trump|israel|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|israel,518863,Will Donald Trump visit Israel in 2025?,leader_contact|visit|donald_trump|israel|year:2025,KXTRUMPVISITISRAEL-25,"Will Trump visit Israel before Aug 1, 2025?",leader_contact|visit|donald_trump|israel|before:2025-08-01,deadline_mismatch:year:2025!=before:2025-08-01
leader_contact|visit|donald_trump|israel,555433,Will Trump visit Israel before August?,leader_contact|visit|donald_trump|israel|before:2025-08-01,KXPRESVISIT-26-IS,Will Trump visit Israel in the first year?,leader_contact|visit|donald_trump|israel|period:first_year,deadline_mismatch:before:2025-08-01!=period:first_year
leader_contact|visit|donald_trump|italy,525137,Will Donald Trump visit Italy in 2025?,leader_contact|visit|donald_trump|italy|year:2025,KXPRESVISIT-26-I,Will Trump visit Italy in the first year?,leader_contact|visit|donald_trump|italy|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|japan,518868,Will Donald Trump visit Japan in 2025?,leader_contact|visit|donald_trump|japan|year:2025,KXPRESVISIT-26-J,Will Trump visit Japan in the first year?,leader_contact|visit|donald_trump|japan|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|mexico,518865,Will Donald Trump visit Mexico in 2025?,leader_contact|visit|donald_trump|mexico|year:2025,KXPRESVISIT-26-MEX,Will Trump visit Mexico in the first year?,leader_contact|visit|donald_trump|mexico|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|russia,518889,Will Donald Trump visit Russia in 2025?,leader_contact|visit|donald_trump|russia|year:2025,KXPRESVISIT-26-RU,Will Trump visit Russia in the first year?,leader_contact|visit|donald_trump|russia|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|russia,523197,Will Trump visit Russia in first 100 days?,leader_contact|visit|donald_trump|russia|period:first_100_days,KXPRESVISIT-26-RU,Will Trump visit Russia in the first year?,leader_contact|visit|donald_trump|russia|period:first_year,deadline_mismatch:period:first_100_days!=period:first_year
leader_contact|visit|donald_trump|russia,524291,Will Trump visit Russia before July?,leader_contact|visit|donald_trump|russia|before:2025-07-01,KXPRESVISIT-26-RU,Will Trump visit Russia in the first year?,leader_contact|visit|donald_trump|russia|period:first_year,deadline_mismatch:before:2025-07-01!=period:first_year
leader_contact|visit|donald_trump|saudi_arabia,518866,Will Donald Trump visit Saudi Arabia in 2025?,leader_contact|visit|donald_trump|saudi_arabia|year:2025,KXPRESVISIT-26-SA,Will Trump visit Saudi Arabia in the first year?,leader_contact|visit|donald_trump|saudi_arabia|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|south_korea,518870,Will Donald Trump visit South Korea in 2025?,leader_contact|visit|donald_trump|south_korea|year:2025,KXPRESVISIT-26-SK,Will Trump visit South Korea in the first year?,leader_contact|visit|donald_trump|south_korea|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|taiwan,518891,Will Donald Trump visit Taiwan in 2025?,leader_contact|visit|donald_trump|taiwan|year:2025,KXPRESVISIT-26-ROC,Will Trump visit Taiwan in the first year?,leader_contact|visit|donald_trump|taiwan|period:first_year,deadline_mismatch:year:2025!=period:first_year
leader_contact|visit|donald_trump|ukraine,518890,Will Donald Trump visit Ukraine in 2025?,leader_contact|visit|donald_trump|ukraine|year:2025,KXPRESVISIT-26-UKR,Will Trump visit Ukraine in the first year?,leader_contact|visit|donald_trump|ukraine|period:first_year,deadline_mismatch:year:2025!=period:first_year
office_exit|impeached|donald_trump,517855,Will Trump be impeached in 2025?,office_exit|impeached|donald_trump|year:2025,KXHOGGREMOVE,Will Trump be impeached and removed from office?,office_exit|impeached|donald_trump,deadline_mismatch:year:2025!=<blank>
office_exit|impeached|donald_trump,517855,Will Trump be impeached in 2025?,office_exit|impeached|donald_trump|year:2025,KXTRUMPREMOVE,Will Trump be impeached and removed from office?,office_exit|impeached|donald_trump,deadline_mismatch:year:2025!=<blank>
office_exit|leave_office|ali_khamenei,514497,Khamenei out as Supreme Leader of Iran by June 30?,office_exit|leave_office|ali_khamenei|by:2025-06-30,KXLEAVESUPREMELEADER-26JAN,Ali Khamenei out as Supreme Leader of Iran before Jan 2026?,office_exit|leave_office|ali_khamenei|before:2025-01-01,deadline_mismatch:by:2025-06-30!=before:2025-01-01
office_exit|leave_office|ali_khamenei,516716,Khamenei out as Supreme Leader of Iran in 2025?,office_exit|leave_office|ali_khamenei|year:2025,KXLEAVESUPREMELEADER-26JAN,Ali Khamenei out as Supreme Leader of Iran before Jan 2026?,office_exit|leave_office|ali_khamenei|before:2025-01-01,deadline_mismatch:year:2025!=before:2025-01-01
office_exit|leave_office|ali_khamenei,553786,Khamenei out as Supreme Leader of Iran by July 31?,office_exit|leave_office|ali_khamenei|by:2025-07-31,KXLEAVESUPREMELEADER-26JAN,Ali Khamenei out as Supreme Leader of Iran before Jan 2026?,office_exit|leave_office|ali_khamenei|before:2025-01-01,deadline_mismatch:by:2025-07-31!=before:2025-01-01
office_exit|leave_office|donald_trump,527809,Will Donald Trump be the first leader out in 2025?,office_exit|leave_office|donald_trump|year:2025,KXCABLEAVE-25-26JAN,Will any member of Trump's Cabinet leave before Jan 2026?,office_exit|leave_office|donald_trump|before:2026-01-01,deadline_mismatch:year:2025!=before:2026-01-01
office_exit|leave_office|donald_trump,527809,Will Donald Trump be the first leader out in 2025?,office_exit|leave_office|donald_trump|year:2025,KXCABLEAVE-25-JUL,Will any member of Trump's Cabinet leave before Jul 2025?,office_exit|leave_office|donald_trump|before:2025-07-01,deadline_mismatch:year:2025!=before:2025-07-01
office_exit|leave_office|donald_trump,527809,Will Donald Trump be the first leader out in 2025?,office_exit|leave_office|donald_trump|year:2025,KXCABLEAVE-25-OCT,Will any member of Trump's Cabinet leave before Oct 2025?,office_exit|leave_office|donald_trump|before:2025-10-01,deadline_mismatch:year:2025!=before:2025-10-01
office_exit|leave_office|donald_trump,540820,Trump out as President before GTA VI?,office_exit|leave_office|donald_trump,KXCABLEAVE-25-26JAN,Will any member of Trump's Cabinet leave before Jan 2026?,office_exit|leave_office|donald_trump|before:2026-01-01,deadline_mismatch:<blank>!=before:2026-01-01
office_exit|leave_office|donald_trump,540820,Trump out as President before GTA VI?,office_exit|leave_office|donald_trump,KXCABLEAVE-25-JUL,Will any member of Trump's Cabinet leave before Jul 2025?,office_exit|leave_office|donald_trump|before:2025-07-01,deadline_mismatch:<blank>!=before:2025-07-01
office_exit|leave_office|donald_trump,540820,Trump out as President before GTA VI?,office_exit|leave_office|donald_trump,KXCABLEAVE-25-OCT,Will any member of Trump's Cabinet leave before Oct 2025?,office_exit|leave_office|donald_trump|before:2025-10-01,deadline_mismatch:<blank>!=before:2025-10-01
policy_action|acquire|greenland|united_states,516184,Will Trump acquire Greenland before July?,policy_action|acquire|greenland|united_states|before:2025-07-01,KXGREENLAND-29,Will Trump buy Greenland?,policy_action|acquire|greenland|united_states|year:2029,deadline_mismatch:before:2025-07-01!=year:2029
policy_action|acquire|greenland|united_states,516184,Will Trump acquire Greenland before July?,policy_action|acquire|greenland|united_states|before:2025-07-01,KXGREENTERRITORY-29,Will the United States acquire any part of Greenland before 2029?,policy_action|acquire|greenland|united_states|year:2028,deadline_mismatch:before:2025-07-01!=year:2028
policy_action|acquire|greenland|united_states,517817,Will Trump acquire Greenland in 2025?,policy_action|acquire|greenland|united_states|year:2025,KXGREENLAND-29,Will Trump buy Greenland?,policy_action|acquire|greenland|united_states|year:2029,deadline_mismatch:year:2025!=year:2029
policy_action|acquire|greenland|united_states,517817,Will Trump acquire Greenland in 2025?,policy_action|acquire|greenland|united_states|year:2025,KXGREENTERRITORY-29,Will the United States acquire any part of Greenland before 2029?,policy_action|acquire|greenland|united_states|year:2028,deadline_mismatch:year:2025!=year:2028
policy_action|ban|tiktok_ban|united_states,507276,TikTok banned in the US before May 2025?,policy_action|ban|tiktok_ban|united_states|before:2025-05-01,KXTIKTOKLEAVE-25DEC,Will TikTok leave the app store again before Dec 2025?,policy_action|ban|tiktok_ban|united_states|before:2025-12-01,deadline_mismatch:before:2025-05-01!=before:2025-12-01
policy_action|ban|tiktok_ban|united_states,516885,TikTok banned in 2025?,policy_action|ban|tiktok_ban|united_states|year:2025,KXTIKTOKLEAVE-25DEC,Will TikTok leave the app store again before Dec 2025?,policy_action|ban|tiktok_ban|united_states|before:2025-12-01,deadline_mismatch:year:2025!=before:2025-12-01
policy_action|ban|tiktok_ban|united_states,519694,Will TikTok be banned again before May?,policy_action|ban|tiktok_ban|united_states|before:2025-05-01,KXTIKTOKLEAVE-25DEC,Will TikTok leave the app store again before Dec 2025?,policy_action|ban|tiktok_ban|united_states|before:2025-12-01,deadline_mismatch:before:2025-05-01!=before:2025-12-01
policy_action|confirm|aliens_exist|united_states,516186,Trump Admin confirms Aliens exist in first 100 days?,policy_action|confirm|aliens_exist|united_states|period:first_100_days,KXALIENS-26,Will the U.S. confirm that aliens exist in 2026?,policy_action|confirm|aliens_exist|united_states|year:2026,deadline_mismatch:period:first_100_days!=year:2026
policy_action|confirm|aliens_exist|united_states,516925,Will the US confirm that aliens exist in 2025?,policy_action|confirm|aliens_exist|united_states|year:2025,KXALIENS-26,Will the U.S. confirm that aliens exist in 2026?,policy_action|confirm|aliens_exist|united_states|year:2026,deadline_mismatch:year:2025!=year:2026
policy_action|create|national_bitcoin_reserve|united_states,512250,Will Trump create Bitcoin reserve in first 100 days?,policy_action|create|national_bitcoin_reserve|united_states|period:first_100_days,KXBTCRESERVE-26-JAN01,"Will Trump create a National Bitcoin Reserve before Jan 1, 2026?",policy_action|create|national_bitcoin_reserve|united_states|year:2025,deadline_mismatch:period:first_100_days!=year:2025
policy_action|eliminate|department_of_education|united_states,512172,Will Trump end Department of Education in first 100 days?,policy_action|eliminate|department_of_education|united_states|period:first_100_days,KXDOED-26-JAN01,"Will the Department of Education be eliminated before Jan 1, 2026?",policy_action|eliminate|department_of_education|united_states|year:2025,deadline_mismatch:period:first_100_days!=year:2025
policy_action|eliminate|department_of_education|united_states,512172,Will Trump end Department of Education in first 100 days?,policy_action|eliminate|department_of_education|united_states|period:first_100_days,KXDOED-29-JAN20,"Will the Department of Education be eliminated before Jan 20, 2029?",policy_action|eliminate|department_of_education|united_states|before:2029-01-20,deadline_mismatch:period:first_100_days!=before:2029-01-20
policy_action|eliminate|department_of_education|united_states,523188,Will Trump end Department of Education in 2025?,policy_action|eliminate|department_of_education|united_states|year:2025,KXDOED-29-JAN20,"Will the Department of Education be eliminated before Jan 20, 2029?",policy_action|eliminate|department_of_education|united_states|before:2029-01-20,deadline_mismatch:year:2025!=before:2029-01-20
policy_action|pass_law|strategic_bitcoin_reserve_act|texas,515568,Texas Strategic Bitcoin Reserve Act signed into law by March 31?,policy_action|pass_law|strategic_bitcoin_reserve_act|texas|by:2025-03-31,KXTEXASBTC-26,Will the Texas Strategic Bitcoin Reserve Act become law before 2026?,policy_action|pass_law|strategic_bitcoin_reserve_act|texas|year:2025,deadline_mismatch:by:2025-03-31!=year:2025
policy_action|pass_law|strategic_bitcoin_reserve_act|texas,546279,Texas Strategic Bitcoin Reserve Act (S.B. 21) signed before August?,policy_action|pass_law|strategic_bitcoin_reserve_act|texas|before:2025-08-01,KXTEXASBTC-26,Will the Texas Strategic Bitcoin Reserve Act become law before 2026?,policy_action|pass_law|strategic_bitcoin_reserve_act|texas|year:2025,deadline_mismatch:before:2025-08-01!=year:2025
policy_action|release|ufo_files|united_states,511518,Trump declassifies UFO files in first 100 days?,policy_action|release|ufo_files|united_states|period:first_100_days,KXUAPFILES-25,Will Trump release new UFO files this year?,policy_action|release|ufo_files|united_states|year:2025,deadline_mismatch:period:first_100_days!=year:2025
policy_action|start|recession|united_states,508169,U.S. recession before May 2025?,policy_action|start|recession|united_states|before:2025-05-01,RECSSNBER-25,Will there be a recession in 2025?,policy_action|start|recession|united_states|year:2025,deadline_mismatch:before:2025-05-01!=year:2025
